storeNumber,countryCode,latitude,longitude,streetAddressLine1,city,countrySubdivisionCode,postalCode
3402-78202,US,47.715983,-122.29756,12001 Lake City Way NE,Seattle,WA,981255331
4140-147524,US,47.709062,-122.32543,302 NE Northgate Way,Seattle,WA,981256047
66834-301459,US,47.704564,-122.32386,10601 5th Ave. NE,Seattle,WA,98125
3363-39519,US,47.708247,-122.33211,2137 North Northgate Way,Seattle,WA,981339006
19245-93994,US,47.714057,-122.33705,1550 North 115th St,Seattle,WA,98133
3300-9280,US,47.724335,-122.3455,13025 Aurora Avenue North,Seattle,WA,981337506
7136-150645,US,47.682071,-122.31683,7300 Roosevelt Way NE,Seattle,WA,981155663
19475-189065,US,47.689479,-122.34484,8301 Aurora Ave. N,Seattle,WA,981034355
17117-177224,US,47.682534,-122.28941,7340 35th Ave NE,Seattle,WA,981155919
3346-32539,US,47.701661,-122.36397,9999 Holman Rd NW,Seattle,WA,981172041
389-7,US,47.680009,-122.32553,7100 E Greenlake Drive N,Seattle,WA,981155415
2958-97759,US,47.681397,-122.29064,7303 35th Avenue NE,Seattle,WA,981155918
16763-96479,US,47.691979,-122.3587,100 NW 85th Ave,Seattle,WA,981173058
3248-1635,US,47.675689,-122.31639,6417 Roosevelt Way NE,Seattle,WA,981156657
3394-75960,US,47.664405,-122.29897,2650 NE 49th ST,Seattle,WA,981055010
302-68,US,47.662687,-122.29974,4634 26th Avenue NE,Seattle,WA,981055024
5123-146524,US,47.661753,-122.33587,1801 N 45th St,Seattle,WA,981036859
61169-291341,US,47.658666,-122.30987,1169 NE Campus Pkwy,Seattle,WA,98105
7941-95812,US,47.658219,-122.31336,4147 University Way NE,Seattle,WA,981056213
50471-248824,US,47.655619,-122.30859,4000 15th Ave. NE,Seattle,WA,98105
24357-233395,US,47.654891,-122.30539,4001 Stevens Wy NE,Seattle,WA,98195
62622-293313,US,47.654374,-122.3118,3980 15TH AVE NE,SEATTLE,WA,98195
74489-96264,US,47.620423,-122.31309,1410 E John St,Seattle,WA,981125218
304-260735,US,47.618869,-122.32104,101 Broadway East,Seattle,WA,981026067
72908-95926,US,47.62228,-122.32111,417 Broadway E,Seattle,WA,981025009
3281-6226,US,47.619378,-122.32496,1600 E Olive Wy,Seattle,WA,981025613
15407-156113,US,47.622767,-122.33668,442 Terry Avenue N,Seattle,WA,981095210
23730-232404,US,47.624489,-122.33858,515 Westlake Ave N,Seattle,WA,981095191
2810-89320,US,47.629932,-122.34005,1200 Westlake Ave N,Seattle,WA,981093543
3448-84572,US,47.641026,-122.32567,2344 Eastlake Ave E,Seattle,WA,981023306
